17:30:50.836,17:31:07.886,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:30:50.859,17:31:07.906,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
17:31:11.722,17:31:28.776,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:31:11.735,17:31:28.788,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:31:12.681,17:31:29.736,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
17:31:12.688,17:31:29.743,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:31:14.607,17:31:31.656,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:31:14.610,17:31:31.666,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:31:17.759,17:31:34.816,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:31:17.771,17:31:34.823,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:31:29.964,17:31:47.016,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:31:29.974,17:31:47.028,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:31:32.855,17:31:49.896,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:31:32.890,17:31:49.917,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:31:43.115,17:32:00.136,<---,DL DCCH,LTE,LTE rrcConnectionRelease,
17:31:53.652,17:32:10.684,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-78, -5.5), Neighbor(nr-arfcn 2074081, pci 755, rsrp -103.0, rsrq -11.0)
17:31:53.724,17:32:10.758,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:31:53.777,17:32:10.781,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
17:31:53.778,17:32:10.814,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
17:31:53.779,17:32:10.826,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:31:53.798,17:32:10.847,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
17:31:54.186,17:32:11.235,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:31:54.202,17:32:11.245,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
