00:44:03.469,00:44:23.964,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:03.470,00:44:23.977,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:03.869,00:44:24.373,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:03.876,00:44:24.390,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:04.067,00:44:24.579,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
00:44:04.077,00:44:24.590,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:07.877,00:44:28.389,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A2 / Serving(pci 500, ss-rsrp -117.0, ss-rsrq -15.5)
00:44:08.008,00:44:28.507,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:09.395,00:44:29.905,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-89, -12.0), Neighbor(nr-arfcn 648672, pci 395, rsrp -89.0, rsrq -10.5)
00:44:09.465,00:44:29.957,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:09.512,00:44:29.987,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:44:09.528,00:44:30.012,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
00:44:09.528,00:44:30.026,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:09.547,00:44:30.047,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:11.131,00:44:31.637,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:11.142,00:44:31.650,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:14.562,00:44:35.076,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:14.584,00:44:35.085,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:15.587,00:44:36.089,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A5 / Serving(pci 395, ss-rsrp -87.0, ss-rsrq -11.0) / Neighbor(pci 524, ss-rsrp -102.0)
00:44:15.626,00:44:36.133,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:15.678,00:44:36.176,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
00:44:15.722,00:44:36.219,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:15.722,00:44:36.231,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:16.128,00:44:36.631,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:16.139,00:44:36.649,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:16.691,00:44:37.191,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:16.700,00:44:37.211,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:17.369,00:44:37.879,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:17.383,00:44:37.897,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:17.547,00:44:38.061,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
00:44:17.559,00:44:38.071,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:17.855,00:44:38.369,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A2 / Serving(pci 524, ss-rsrp -118.0, ss-rsrq -15.5)
00:44:18.006,00:44:38.487,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:19.295,00:44:39.784,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-91, -12.5), Neighbor(nr-arfcn 648672, pci 395, rsrp -86.0, rsrq -10.5)
00:44:19.368,00:44:39.834,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:19.380,00:44:39.864,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:44:19.380,00:44:39.888,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
00:44:19.413,00:44:39.906,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:19.434,00:44:39.927,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:22.273,00:44:42.777,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:22.292,00:44:42.789,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:24.431,00:44:44.933,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:24.445,00:44:44.949,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:29.525,00:44:50.035,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:29.539,00:44:50.050,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:32.048,00:44:52.537,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-98, -11.5)
00:44:32.149,00:44:52.616,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:32.170,00:44:52.665,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:44:32.170,00:44:52.665,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:32.201,00:44:52.686,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:32.211,00:44:52.707,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:32.690,00:44:53.121,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:34.468,00:44:54.922,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-96, -18.5)
00:44:34.520,00:44:54.995,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:34.540,00:44:55.040,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:44:34.540,00:44:55.040,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:34.563,00:44:55.056,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:34.564,00:44:55.067,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:36.926,00:44:57.414,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-96, -13.5)
00:44:37.006,00:44:57.482,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:37.031,00:44:57.528,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:44:37.031,00:44:57.528,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:37.058,00:44:57.546,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:37.059,00:44:57.567,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:42.266,00:45:02.766,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:42.267,00:45:02.779,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:42.361,00:45:02.829,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 395, ss-rsrp -100.0, ss-rsrq -15.5) / Neighbor(pci 88, ss-rsrp -94.0, ss-rsrq -12.5)
00:44:42.405,00:45:02.872,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:42.451,00:45:02.913,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
00:44:42.452,00:45:02.946,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:42.550,00:45:02.966,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:47.706,00:45:08.206,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:47.775,00:45:08.218,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:52.846,00:45:13.326,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:52.847,00:45:13.337,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:52.935,00:45:13.410,<---,DL DCCH,LTE,LTE rrcConnectionRelease,
00:44:55.536,00:45:15.681,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:44:57.278,00:45:17.761,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:45:03.042,00:45:22.881,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
